Date,Currency,Open,High,Low,Close
2010.01.01 00:00:00,USD/EURO,1.433,1.4337,1.4318,1.4335
2010.01.02 00:00:00,USD/EURO,1.4335,1.4335,1.4335,1.4335
2010.01.03 00:00:00,USD/EURO,1.4331,1.4339,1.4291,1.4316
2010.01.04 00:00:00,USD/EURO,1.4316,1.4458,1.4254,1.4426
2010.01.05 00:00:00,USD/EURO,1.4425,1.4486,1.4345,1.4365
2010.01.06 00:00:00,USD/EURO,1.4365,1.4437,1.4281,1.4402
2010.01.07 00:00:00,USD/EURO,1.4402,1.4449,1.4298,1.4317
2010.01.08 00:00:00,USD/EURO,1.4318,1.4441,1.4262,1.441
2010.01.09 00:00:00,USD/EURO,1.441,1.441,1.441,1.441
2010.01.10 00:00:00,USD/EURO,1.4414,1.448,1.4406,1.4464
2010.01.11 00:00:00,USD/EURO,1.4464,1.4556,1.4461,1.4508
2010.01.12 00:00:00,USD/EURO,1.4508,1.455,1.4451,1.4477
2010.01.13 00:00:00,USD/EURO,1.4476,1.4582,1.4454,1.4523
2010.01.14 00:00:00,USD/EURO,1.4523,1.4557,1.4445,1.45
2010.01.15 00:00:00,USD/EURO,1.4499,1.4505,1.4334,1.4387
2010.01.16 00:00:00,USD/EURO,1.4387,1.4387,1.4387,1.4387
2010.01.17 00:00:00,USD/EURO,1.4383,1.4383,1.4334,1.4368
2010.01.18 00:00:00,USD/EURO,1.4368,1.441,1.4332,1.4405
2010.01.19 00:00:00,USD/EURO,1.4404,1.4416,1.425,1.4281
